Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,73.0,73.5,71.75,72.45,72.45,1885781.0,1369.83
2014-01-01,72.6,73.3,72.45,72.75,73.05,1292731.0,943.69
2014-01-02,72.75,74.9,70.15,70.3,71.1,3945497.0,2891.66
2014-01-03,70.8,71.8,69.6,70.7,70.65,3346529.0,2352.75
2014-01-06,70.6,72.65,69.8,72.3,72.05,3218532.0,2281.56
2014-01-07,71.5,72.3,69.45,70.0,69.75,3517382.0,2476.41
2014-01-08,69.8,70.45,69.0,70.1,69.9,3324184.0,2317.25
2014-01-09,70.0,70.5,69.25,69.5,69.95,2739222.0,1913.13
2014-01-10,69.9,69.9,68.5,68.6,68.65,2115322.0,1458.22
2014-01-13,68.65,69.0,66.1,67.2,67.15,1773631.0,1201.5
2014-01-14,67.35,68.2,66.35,66.6,66.55,1632452.0,1092.48
2014-01-15,67.05,67.6,66.4,66.7,66.7,1229584.0,822.98
2014-01-16,66.7,68.15,66.7,68.0,67.85,1288478.0,873.09
2014-01-17,68.5,68.55,66.85,67.05,67.1,1205488.0,813.35
2014-01-20,67.45,68.45,67.0,68.15,68.15,1127826.0,766.44
2014-01-21,68.2,69.25,68.1,69.15,69.05,948502.0,652.08
2014-01-22,68.75,69.95,68.5,69.8,69.75,1105047.0,767.92
2014-01-23,69.55,70.1,69.05,69.25,69.25,988550.0,686.31
2014-01-24,68.9,69.9,68.65,69.85,69.15,1263810.0,871.62
2014-01-27,68.6,68.6,66.35,67.05,67.35,2407803.0,1618.92
2014-01-28,67.1,69.1,65.65,67.85,67.7,5293811.0,3568.94
2014-01-29,68.0,71.85,65.2,65.55,65.45,2974486.0,1976.78
2014-01-30,64.8,68.55,64.2,64.65,65.0,8889712.0,5897.28
2014-01-31,64.9,65.45,63.65,64.1,64.15,2113239.0,1360.61
2014-02-03,63.95,64.7,61.75,61.9,62.2,1886257.0,1192.81
2014-02-04,61.5,65.5,60.2,60.4,60.4,3938392.0,2398.95
2014-02-05,60.4,62.1,60.4,61.7,61.9,1941829.0,1189.1
2014-02-06,62.4,62.7,60.35,62.25,62.0,2249309.0,1385.95
2014-02-07,62.3,64.1,62.15,63.65,63.65,1982480.0,1257.39
2014-02-10,63.5,64.45,63.1,63.4,63.4,1531190.0,977.2
2014-02-11,63.5,64.35,63.2,63.9,64.1,1481886.0,946.85
2014-02-12,64.15,64.6,62.25,62.3,62.4,2156597.0,1363.45
2014-02-13,62.0,62.45,60.1,60.3,60.35,1872387.0,1147.73
2014-02-14,60.0,62.2,58.5,62.1,61.3,4317694.0,2601.2
2014-02-17,61.8,62.8,59.5,60.3,60.2,2776842.0,1683.79
2014-02-18,58.7,60.6,57.65,60.55,60.25,2870708.0,1714.9
2014-02-19,60.25,61.35,59.15,59.9,59.9,1619552.0,974.13
2014-02-20,59.55,59.9,58.25,58.3,58.55,2009275.0,1185.2
2014-02-21,58.6,60.1,57.7,58.4,58.35,2512973.0,1467.45
2014-02-24,57.95,58.85,56.95,57.2,57.2,2242637.0,1292.64
2014-02-25,57.5,57.65,55.0,55.15,55.2,2994728.0,1674.59
2014-02-26,55.5,56.25,54.05,56.15,56.05,7208312.0,3970.22
2014-02-28,56.75,56.75,55.0,55.75,55.7,3313636.0,1849.59
2014-03-03,55.3,55.8,54.1,54.85,55.1,2658758.0,1465.61
2014-03-04,55.1,56.85,55.0,56.8,56.5,3668453.0,2059.24
2014-03-05,57.0,58.5,56.75,58.1,58.2,5021548.0,2897.87
2014-03-06,58.95,60.0,58.55,59.75,59.75,5263297.0,3124.91
2014-03-07,60.6,61.7,59.6,61.35,61.35,4741714.0,2874.33
2014-03-10,60.9,61.25,59.4,59.9,59.8,5770220.0,3460.3
2014-03-11,60.0,60.15,57.0,57.3,57.25,3740044.0,2165.46
2014-03-12,57.4,57.95,56.7,56.8,56.85,3514850.0,2010.35
2014-03-13,57.0,57.85,55.2,55.4,55.8,3080545.0,1750.38
2014-03-14,55.4,56.4,54.9,55.85,55.75,3986343.0,2224.0
2014-03-18,56.0,56.75,55.3,55.45,55.45,2837963.0,1585.46
2014-03-19,55.7,57.1,55.3,56.55,56.45,6053318.0,3421.89
2014-03-20,56.65,57.3,56.5,57.0,56.85,7242347.0,4114.19
2014-03-21,56.8,58.8,56.8,58.5,58.35,4976568.0,2888.5
2014-03-22,58.5,58.6,58.1,58.25,58.2,254119.0,148.07
2014-03-24,59.15,59.4,58.05,59.25,59.15,4450334.0,2616.16
2014-03-25,59.2,60.2,58.85,60.05,59.95,3655479.0,2185.07
2014-03-26,60.5,63.75,60.35,63.55,63.45,8550561.0,5352.23
2014-03-27,63.4,66.1,63.4,64.05,64.0,9919364.0,6438.54
2014-03-28,64.15,64.95,63.65,64.75,64.7,3767950.0,2420.16
2014-03-31,65.0,73.8,65.0,71.2,71.4,20186919.0,14235.96
2014-04-01,71.8,72.25,68.5,71.2,71.15,9337512.0,6617.12
2014-04-02,71.1,72.25,70.65,71.65,71.85,4247814.0,3040.65
2014-04-03,71.5,75.4,71.4,71.95,72.05,9427478.0,6882.25
2014-04-04,72.2,73.35,70.85,71.25,71.3,6387778.0,4603.04
2014-04-07,71.0,72.4,69.65,70.75,70.9,4146498.0,2939.51
2014-04-09,71.2,74.8,71.2,74.35,74.3,5657189.0,4141.94
2014-04-10,74.35,76.1,72.65,74.4,74.65,8465148.0,6291.17
