Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,369.0,371.55,366.35,370.8,370.2,1872774.0,6917.02
2014-01-01,373.0,375.8,371.1,375.5,374.45,1339431.0,5003.93
2014-01-02,375.0,381.8,360.2,360.6,362.15,6127181.0,22977.41
2014-01-03,358.0,371.45,358.0,369.75,369.8,3967885.0,14483.54
2014-01-06,370.3,370.65,362.1,365.3,366.4,3031124.0,11075.12
2014-01-07,366.0,368.9,359.3,364.05,365.15,4825028.0,17543.02
2014-01-08,366.25,367.5,353.55,354.85,356.4,5123324.0,18524.37
2014-01-09,355.7,355.7,348.0,350.35,350.15,3819724.0,13402.69
2014-01-10,352.0,357.0,341.75,343.0,343.0,4069230.0,14254.5
2014-01-13,343.0,348.75,335.0,341.8,338.75,4993777.0,16994.14
2014-01-14,341.0,347.6,340.2,347.1,346.6,3982024.0,13736.78
2014-01-15,350.9,356.8,342.3,353.25,353.05,12986886.0,45656.46
2014-01-16,356.0,360.0,352.1,356.45,356.55,4949883.0,17653.33
2014-01-17,353.0,357.6,349.4,352.45,351.15,4150785.0,14638.87
2014-01-20,349.15,360.55,349.15,360.25,359.4,3285091.0,11705.56
2014-01-21,360.3,366.35,360.3,363.0,363.2,3177747.0,11569.05
2014-01-22,364.0,364.8,358.65,360.7,361.45,2826631.0,10215.44
2014-01-23,360.95,362.25,355.5,357.75,357.5,2667834.0,9577.89
2014-01-24,354.2,357.75,345.15,345.95,348.05,2676728.0,9428.47
2014-01-27,340.0,340.9,320.0,321.15,321.65,7422385.0,24234.4
2014-01-28,322.0,329.9,314.45,324.05,324.9,9306876.0,30087.21
2014-01-29,328.2,331.7,318.0,321.5,320.8,4539321.0,14714.77
2014-01-30,315.0,316.0,303.25,308.05,306.35,5790980.0,17892.56
2014-01-31,308.1,311.8,304.1,307.95,307.65,6686496.0,20577.41
2014-02-03,307.0,307.05,298.75,299.95,299.45,5495097.0,16591.4
2014-02-04,295.1,305.8,291.4,303.0,303.4,7927061.0,23805.89
2014-02-05,301.05,305.45,298.05,302.55,303.05,6054938.0,18291.77
2014-02-06,304.2,310.25,301.55,303.75,305.0,5422513.0,16572.83
2014-02-07,308.0,310.25,305.0,309.7,308.9,3760873.0,11569.69
2014-02-10,310.1,313.45,305.65,306.1,307.8,3276874.0,10183.06
2014-02-11,307.65,310.8,305.1,306.0,306.3,2786492.0,8587.39
2014-02-12,309.0,311.95,302.1,302.9,303.1,5256338.0,16148.34
2014-02-13,305.0,305.5,294.1,294.15,294.85,4979395.0,14843.51
2014-02-14,299.0,302.0,294.15,301.3,300.65,3547203.0,10572.08
2014-02-17,302.4,307.0,297.05,306.45,305.15,5222981.0,15784.51
2014-02-18,306.0,311.0,303.8,307.0,307.7,5565541.0,17183.13
2014-02-19,309.9,310.5,305.0,307.2,306.95,3611893.0,11116.24
2014-02-20,304.5,306.4,301.3,301.8,301.9,3717265.0,11278.99
2014-02-21,302.05,307.5,302.05,306.0,306.2,2259243.0,6909.22
2014-02-24,306.0,306.5,301.2,303.8,303.9,3111080.0,9452.17
2014-02-25,306.2,306.9,301.55,301.8,302.25,2577296.0,7819.19
2014-02-26,302.2,305.9,301.5,303.1,302.5,3244677.0,9846.93
2014-02-28,305.3,306.5,302.2,304.25,304.95,3176477.0,9669.89
2014-03-03,302.35,312.45,301.55,302.7,302.75,4736505.0,14545.52
2014-03-04,304.35,322.8,303.6,321.0,320.45,9359948.0,29436.81
2014-03-05,324.7,335.0,319.65,331.1,331.45,12142895.0,39822.47
2014-03-06,334.0,347.4,331.1,345.85,345.8,9432375.0,32047.15
2014-03-07,347.4,378.9,347.0,376.45,375.9,17873525.0,65693.81
2014-03-10,372.0,389.5,370.0,380.85,381.9,12733709.0,48601.6
2014-03-11,382.9,387.4,366.4,371.4,371.25,10118114.0,37880.2
2014-03-12,370.0,373.3,360.9,364.15,364.75,8389324.0,30743.28
2014-03-13,368.1,378.0,356.1,360.45,361.35,7295198.0,27067.59
2014-03-14,355.8,357.8,350.3,355.3,355.85,7363444.0,26056.94
2014-03-18,359.5,367.35,359.1,363.4,363.7,5434945.0,19781.39
2014-03-19,367.25,371.0,361.3,365.55,365.4,6280676.0,22978.68
2014-03-20,365.9,365.9,360.0,362.3,362.05,3434231.0,12448.76
2014-03-21,360.6,366.25,356.6,361.2,360.35,3206978.0,11631.32
2014-03-22,362.45,363.1,361.1,362.2,362.0,243509.0,881.63
2014-03-24,365.0,380.8,364.75,379.5,379.2,7502771.0,28099.7
2014-03-25,380.0,383.9,376.6,379.25,379.55,3995070.0,15187.21
2014-03-26,383.0,403.0,382.2,402.6,401.75,13023069.0,51373.01
2014-03-27,402.5,404.7,387.5,395.05,394.05,7965311.0,31764.01
2014-03-28,398.9,407.7,398.3,404.5,404.9,5860488.0,23622.57
2014-03-31,408.0,416.75,403.7,415.5,413.95,6471480.0,26538.2
2014-04-01,418.4,419.0,405.2,410.55,410.35,6919987.0,28495.45
2014-04-02,415.0,422.9,409.75,421.2,420.65,5588678.0,23217.26
2014-04-03,421.35,422.0,408.2,411.4,412.1,4446267.0,18363.15
2014-04-04,412.0,425.0,408.2,423.25,423.15,6027163.0,25202.9
2014-04-07,423.0,431.1,419.0,425.55,428.9,5374900.0,22907.88
2014-04-09,429.95,449.95,428.25,448.8,447.3,6345863.0,27922.19
2014-04-10,449.7,455.7,444.1,447.0,446.8,7697647.0,34635.53
2014-04-11,439.95,450.55,438.0,442.4,443.2,4302391.0,19108.97
2014-04-15,436.25,445.0,413.35,418.85,419.8,6546907.0,27752.19
2014-04-16,416.1,425.0,404.0,408.45,407.55,7594258.0,31493.02
2014-04-17,410.0,418.25,409.1,416.5,417.1,5032831.0,20863.88
2014-04-21,419.0,440.8,418.5,437.05,436.4,5829300.0,25195.35
2014-04-22,439.45,443.5,432.6,435.0,434.35,5008686.0,21883.99
2014-04-23,438.7,445.7,435.5,441.25,441.35,10945876.0,48324.52
2014-04-25,443.95,470.0,441.9,468.7,468.4,12647887.0,58323.44
2014-04-28,468.5,474.8,456.5,463.4,463.25,4916393.0,22822.69
2014-04-29,465.0,467.6,447.0,448.6,449.35,6056684.0,27544.05
2014-04-30,450.2,454.5,428.75,442.75,440.75,7134504.0,31728.43
2014-05-02,444.5,450.5,440.2,444.0,444.0,3027070.0,13486.97
2014-05-05,441.05,447.35,435.65,439.0,438.5,5092227.0,22450.66
2014-05-06,442.0,448.9,441.85,446.35,445.85,3305550.0,14725.56
2014-05-07,445.85,447.8,433.5,434.1,435.45,3368733.0,14881.77
2014-05-08,438.0,444.45,437.0,444.2,443.2,2818748.0,12417.66
2014-05-09,439.0,498.5,439.0,484.6,484.55,16633445.0,79050.01
2014-05-12,488.0,502.5,487.1,493.95,493.8,9863260.0,48948.42
2014-05-13,503.0,535.9,499.65,519.9,519.2,16937980.0,88375.27
2014-05-14,523.0,530.9,516.0,521.85,522.3,5690184.0,29783.65
2014-05-15,524.9,534.9,517.55,522.7,523.75,5092126.0,26750.47
2014-05-16,539.8,599.0,531.45,545.6,545.55,13542671.0,75761.52
2014-05-19,554.7,571.9,550.1,564.0,565.75,7295105.0,41067.04
2014-05-20,572.0,572.8,543.85,546.05,546.3,4477918.0,24792.24
2014-05-21,549.75,553.65,527.25,535.3,534.9,5142237.0,27792.67
2014-05-22,537.0,561.6,537.0,558.0,557.85,4744728.0,26253.03
2014-05-23,562.8,565.0,551.8,562.75,563.35,4903450.0,27379.26
2014-05-26,570.0,583.7,544.55,548.0,551.45,5854123.0,33379.55
2014-05-27,545.9,555.95,530.0,545.0,547.3,5401372.0,29374.24
2014-05-28,547.95,566.9,546.5,563.65,562.4,3654381.0,20371.44
2014-05-29,557.4,562.6,537.0,549.05,548.15,9206692.0,50498.52
