Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-12-31,1759.45,1773.0,1749.7,1761.3,1766.5,1075308.0,18947.79
2014-01-01,1772.0,1774.9,1761.25,1770.0,1765.05,590478.0,10433.83
2014-01-02,1765.9,1806.0,1732.2,1736.0,1742.6,1945190.0,34588.47
2014-01-03,1727.0,1736.0,1711.0,1719.0,1719.65,1375959.0,23683.09
2014-01-06,1721.9,1724.0,1682.0,1685.0,1688.15,1390783.0,23574.03
2014-01-07,1692.9,1702.0,1655.0,1656.2,1661.4,1735291.0,28988.13
2014-01-08,1664.25,1677.95,1651.0,1653.7,1657.15,1424879.0,23731.08
2014-01-09,1653.0,1662.75,1630.0,1639.05,1639.8,1479110.0,24285.28
2014-01-10,1639.55,1656.0,1600.0,1602.8,1608.15,2047307.0,33410.84
2014-01-13,1610.15,1645.1,1610.15,1644.0,1641.25,1556485.0,25372.64
2014-01-14,1635.0,1649.0,1623.35,1626.0,1627.5,1019700.0,16694.18
2014-01-15,1632.0,1658.0,1632.0,1638.2,1640.7,1362498.0,22410.91
2014-01-16,1644.15,1651.75,1632.45,1633.05,1636.2,724197.0,11878.99
2014-01-17,1634.55,1644.5,1617.0,1624.0,1621.55,1120738.0,18254.33
2014-01-20,1621.55,1645.9,1616.65,1645.9,1641.85,946865.0,15472.16
2014-01-21,1653.9,1672.7,1646.2,1656.45,1659.5,1235189.0,20510.2
2014-01-22,1654.0,1657.95,1635.25,1644.0,1646.85,982192.0,16180.74
2014-01-23,1639.0,1663.0,1636.15,1659.55,1658.3,924131.0,15271.48
2014-01-24,1649.0,1664.9,1618.0,1623.6,1621.2,1661656.0,27171.59
2014-01-27,1597.9,1604.0,1583.05,1598.75,1594.5,1568804.0,25001.68
2014-01-28,1603.05,1628.0,1578.25,1601.8,1596.3,1829691.0,29270.44
2014-01-29,1613.0,1621.8,1570.0,1572.3,1573.65,1759455.0,27843.16
